timestamp,latitude,longitude,altitude,heading,pitch,roll,ve,vn,vu,ae,an,au,vheading,vpitch,vroll
1783590189000,48.056957,170.325050,3217.441000,116.740000,6.810000,-6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590190000,48.056777,170.325508,3221.926600,116.010000,7.350000,-4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590191000,48.056579,170.326072,3227.373400,115.480000,7.630000,-3.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590192000,48.056449,170.326446,3230.737600,115.210000,7.090000,-4.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590193000,48.056301,170.326911,3234.902800,113.530000,7.210000,-4.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590194000,48.056011,170.327865,3242.111800,111.210000,6.410000,-6.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590195000,48.055953,170.328071,3243.713800,110.590000,6.800000,-5.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590196000,48.055824,170.328559,3247.558600,109.110000,7.100000,-4.810000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590197000,48.055683,170.329154,3252.845200,107.950000,7.370000,-5.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590198000,48.055591,170.329551,3256.369600,107.000000,7.280000,-4.990000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590199000,48.055488,170.330039,3260.855200,105.970000,7.610000,-4.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590200000,48.055374,170.330650,3266.462200,104.960000,7.490000,-4.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590201000,48.055305,170.331039,3270.146800,103.890000,7.460000,-4.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590202000,48.055221,170.331542,3274.952800,102.810000,7.620000,-4.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590202000,48.055107,170.332336,3282.161800,101.370000,7.890000,-4.890000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590202000,48.055034,170.332939,3287.288200,100.120000,7.730000,-4.870000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590202000,48.054973,170.333549,3292.094200,98.700000,7.380000,-5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590207000,48.054939,170.333938,3294.977800,97.810000,7.070000,-4.780000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590208000,48.054908,170.334342,3297.861400,96.840000,7.240000,-5.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590209000,48.054882,170.334838,3301.546000,95.190000,6.930000,-4.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590209000,48.054855,170.335449,3306.512200,93.250000,7.340000,-4.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590210000,48.054843,170.335838,3309.876400,91.930000,7.710000,-5.460000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590211000,48.054836,170.336441,3314.842600,90.820000,7.340000,-4.810000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590212000,48.054840,170.336837,3318.046600,90.210000,6.860000,-4.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590213000,48.054851,170.337333,3321.891400,88.570000,7.320000,-5.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590214000,48.054874,170.337821,3325.896400,87.360000,7.140000,-5.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590215000,48.054920,170.338531,3331.022800,87.510000,6.520000,-3.460000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590216000,48.054954,170.339019,3334.387000,87.170000,7.140000,-3.240000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590217000,48.055011,170.339622,3338.231800,85.780000,6.700000,-3.870000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590218000,48.055049,170.340003,3340.795000,85.170000,6.480000,-4.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590219000,48.055122,170.340606,3344.639800,84.050000,6.660000,-4.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590220000,48.055171,170.340995,3347.203000,83.130000,6.560000,-5.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590221000,48.055244,170.341484,3350.407000,82.080000,6.440000,-4.820000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
